Titles,Years,Durations,Ratings
238. To Be or Not to Be,1942,2h 7m,8.1
239. The Sound of Music,1965,1h 26m,8.1
240. The Grapes of Wrath,1940,2h 26m,8.1
241. La battaglia di Algeri,1966,1h 45m,8.1
242. Groundhog Day,1993,1h 39m,8
243. Amores perros,2000,3h 1m,8.1
244. Rebecca,1940,2h 22m,8.1
245. Cool Hand Luke,1967,2h 55m,8.1
246. The Iron Giant,1999,2h 32m,8.1
247. The Help,2011,3h 22m,8.1
248. It Happened One Night,1934,1h 36m,8.1
249. Les quatre cents coups,1959,3h 15m,8.1
250. Dances with Wolves,1990,3h 21m,8
You have rated,,2h 34m,
More to explore,,2h 58m,
Charts,,2h 41m,
Top Box Office (US),,2h 46m,
Most Popular Movies,,2h 22m,
Top Rated English Movies,,2h 59m,
Most Popular TV Shows,,2h 19m,
Top 250 TV Shows,,2h 28m,
Lowest Rated Movies,,2h 4m,
Most Popular Celebs,,2h 16m,
Top Rated Movies by Genre,,2h 25m,
Recently viewed,,2h 13m,
,,2h 7m,
